episode,longitude,latitude,altitude,timestamp,Pressure_surface,Relative_humidity_isobaric,Temperature_isobaric,Wind_speed_gust_surface,u-component_of_wind_isobaric,v-component_of_wind_isobaric,mode
0,2.066052964562,41.2771486086187,1220.0,1459535613.0,98802.945,73.3,282.9,2.0,2.3499999999999996,0.8499999999999996,0
0,2.0656101334626027,41.27387191448876,1378.7981366979257,1459535618.0,98802.945,73.3,282.9,2.0,2.3499999999999996,0.8499999999999996,0
0,2.065579406301376,41.27035948861076,1519.2598357758834,1459535623.0,98802.945,71.1,281.4,2.0,2.4399999999999995,1.5899999999999999,0
0,2.0661255578182414,41.26678552093771,1647.4768388826487,1459535628.0,98802.945,71.1,281.4,2.0,2.4399999999999995,1.5899999999999999,0
0,2.0665893119630256,41.26311114356633,1767.549625579475,1459535633.0,98802.945,71.1,281.4,2.0,2.4399999999999995,1.5899999999999999,0
0,2.066787670370202,41.2593266638312,1884.843178002624,1459535638.0,98802.945,71.1,281.4,2.0,2.4399999999999995,1.5899999999999999,0
0,2.066604333569324,41.25539036505143,2003.429490896775,1459535643.0,98802.945,71.1,281.4,2.0,2.4399999999999995,1.5899999999999999,0
0,2.065956407572611,41.25124086520002,2126.589009219546,1459535648.0,98802.945,71.1,281.4,2.0,2.4399999999999995,1.5899999999999999,0
0,2.064783595811494,41.246812184886636,2256.982112654703,1459535653.0,101367.74,82.1,278.9,2.8,-2.3000000000000007,-2.0599999999999996,0
0,2.063009074695733,41.24253365330057,2400.2318890083807,1459535658.0,101367.74,82.1,278.9,2.8,-2.3000000000000007,-2.0599999999999996,0
0,2.0607712827145193,41.238341718736635,2552.9042851065587,1459535663.0,101367.74,82.1,278.9,2.8,-2.3000000000000007,-2.0599999999999996,0
0,2.058095908438422,41.23418222770155,2714.772713432487,1459535668.0,101367.74,82.1,278.9,2.8,-2.3000000000000007,-2.0599999999999996,0
0,2.055038189451519,41.230002210928056,2885.146102531424,1459535673.0,101367.74,83.2,277.2,2.8,-3.490000000000002,-3.7199999999999998,0
0,2.051599665185621,41.2256976789911,3066.020634922752,1459535678.0,101367.74,83.2,277.2,2.8,-3.490000000000002,-3.7199999999999998,0
0,2.0478154914436093,41.22131844916645,3254.572357115303,1459535683.0,101367.74,83.2,277.2,2.8,-3.490000000000002,-3.7199999999999998,0
0,2.04371779551452,41.2169157467872,3449.682277029233,1459535688.0,101367.74,83.2,277.2,2.8,-3.490000000000002,-3.7199999999999998,0
0,2.0393144333646265,41.212570272619786,3650.167424276453,1459535693.0,101367.74,83.2,277.2,2.8,-3.490000000000002,-3.7199999999999998,0
0,2.0346039372658122,41.20834774794828,3855.2253394672334,1459535698.0,101367.74,83.2,277.2,2.8,-3.490000000000002,-3.7199999999999998,0
0,2.029582458397223,41.20428839682743,4064.5916689601454,1459535703.0,101367.74,82.5,274.5,2.8,-6.789999999999999,-8.52,0
0,2.02460712343485,41.200028524612584,4284.576098503259,1459535708.0,101367.74,82.5,274.5,2.8,-6.789999999999999,-8.52,0
0,2.019229329029292,41.19594368583832,4509.440559735573,1459535713.0,101367.74,82.5,274.5,2.8,-6.789999999999999,-8.52,0
0,2.0134217098133957,41.192053637958345,4739.908359397299,1459535718.0,101367.74,82.5,274.5,2.8,-6.789999999999999,-8.52,0
0,2.007157242798475,41.18842017509205,4976.688664734149,1459535723.0,101367.74,82.5,274.5,2.8,-6.789999999999999,-8.52,0
0,2.000420147029321,41.18514441600862,5220.241251296258,1459535728.0,101367.74,82.5,274.5,2.8,-6.789999999999999,-8.52,0
0,1.9932313666737174,41.18231668238438,5470.528796010618,1459535733.0,101367.74,82.5,274.5,2.8,-6.789999999999999,-8.52,0
0,1.9856690812060434,41.179952342870955,5726.90150942304,1459535738.0,101367.74,96.0,272.2,2.8,-7.219999999999999,-8.589999999999996,0
0,1.9780338350288722,41.177851300886424,5989.571928315556,1459535743.0,101367.74,96.0,272.2,2.8,-7.219999999999999,-8.589999999999996,0
0,1.970221735748607,41.17606962128639,6256.853065113584,1459535748.0,101367.74,96.0,272.2,2.8,-7.219999999999999,-8.589999999999996,0
0,1.9623306366675797,41.174510366017365,6527.761114799487,1459535753.0,101367.74,96.0,272.2,2.8,-7.219999999999999,-8.589999999999996,0
0,1.9544193576859583,41.173079149976715,6801.442996781334,1459535758.0,101367.74,96.0,272.2,2.8,-7.219999999999999,-8.589999999999996,0
0,1.9465099574799924,41.171672542858666,7076.947604939585,1459535763.0,101367.74,96.0,272.2,2.8,-7.219999999999999,-8.589999999999996,0
0,1.9385951734578972,41.170172177031326,7353.042482008437,1459535768.0,101367.74,97.8,269.2,2.8,-4.960000000000001,-5.240000000000001,0
0,1.9307416827800323,41.16892362191679,7629.673452966523,1459535773.0,101367.74,97.8,269.2,2.8,-4.960000000000001,-5.240000000000001,0
0,1.9228353155905396,41.16750859254975,7905.327204273997,1459535778.0,101367.74,97.8,269.2,2.8,-4.960000000000001,-5.240000000000001,0
0,1.9148705266175843,41.16588113656992,8178.810075306257,1459535783.0,101367.74,97.8,269.2,2.8,-4.960000000000001,-5.240000000000001,0
0,1.9068693364407943,41.164036482947076,8449.487767656972,1459535788.0,101367.74,97.8,269.2,2.8,-4.960000000000001,-5.240000000000001,0
0,1.898858578407221,41.16197286828971,8717.087669048498,1459535793.0,101367.74,97.8,269.2,2.8,-4.960000000000001,-5.240000000000001,0
0,1.890855223867891,41.15968886278436,8982.067615517839,1459535798.0,101367.74,97.8,269.2,2.8,-4.960000000000001,-5.240000000000001,0
0,1.8828682186637935,41.1572019370452,9245.76938349587,1459535803.0,101367.74,94.9,265.4,2.8,-3.66,-3.21,0
0,1.874996582652798,41.154955598692524,9502.427109632385,1459535808.0,101367.74,94.9,265.4,2.8,-3.66,-3.21,0
0,1.867124854884532,41.152568952781046,9758.517290976753,1459535813.0,101367.74,94.9,265.4,2.8,-3.66,-3.21,0
0,1.8592521031120022,41.15007834634204,10012.942099517295,1459535818.0,101367.74,94.9,265.4,2.8,-3.66,-3.21,0
0,1.8513594081438618,41.147526504134184,10259.66003544796,1459535823.0,101367.74,94.9,265.4,2.8,-3.66,-3.21,0
0,1.8433816704504822,41.144949108601445,10483.479759336047,1459535828.0,101367.74,94.9,265.4,2.8,-3.66,-3.21,0
0,1.835249215197567,41.14236568841327,10671.067696123786,1459535833.0,101367.74,94.9,265.4,2.8,-3.66,-3.21,0
0,1.8269773243481962,41.13977718534214,10830.779656405952,1459535838.0,101367.74,73.6,263.1,2.8,-5.559999999999999,-0.08000000000000007,0
0,1.8182148617151168,41.13732052888935,10962.485321990127,1459535843.0,101367.74,73.6,263.1,2.8,-5.559999999999999,-0.08000000000000007,0
0,1.809334973135019,41.13484598781788,11095.7322271756,1459535848.0,101367.74,73.6,263.1,2.8,-5.559999999999999,-0.08000000000000007,0
0,1.8003260746767795,41.132362470866966,11234.4712832847,1459535853.0,101367.74,73.6,263.1,2.8,-5.559999999999999,-0.08000000000000007,0
0,1.7911752468914526,41.12988012407418,11382.866686698591,1459535858.0,101367.74,73.6,263.1,2.8,-5.559999999999999,-0.08000000000000007,0
0,1.781871689884425,41.127407738676354,11545.564005293498,1459535863.0,101367.74,73.6,263.1,2.8,-5.559999999999999,-0.08000000000000007,0
0,1.7724036071701295,41.12494461954454,11726.70027755688,1459535868.0,101367.74,73.6,263.1,2.8,-5.559999999999999,-0.08000000000000007,0
0,1.7627494265395804,41.12246728245894,11927.542234064316,1459535873.0,101367.74,73.6,263.1,2.8,-5.559999999999999,-0.08000000000000007,0
0,1.7528822010705332,41.11992594603635,12145.020937056288,1459535878.0,101367.74,73.6,263.1,2.8,-5.559999999999999,-0.08000000000000007,0
